Table S1: Results of U-Th-Pb analyses for igneous and detrital zircon samples,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,Isotope ratios,,,,,Apparent ages (Ma),,,,,,,,Concordance,
,,,,,,,,,,,,,,,,,,,,
Analysis,U,206Pb,U/Th,206Pb*,±2s,207Pb*,±2s,206Pb*,±2s,error,206Pb*,±2s,207Pb*,±2s,206Pb*,±2s,Best age,±2s,68 vs. 67,68 vs. 75
,(ppm),204Pb,,207Pb*,(%),235U*,(%),238U,(%),corr.,238U*,(Ma),235U,(Ma),207Pb*,(Ma),(Ma),(Ma),(%),(%)
,,,,,,,,,,,,,,,,,,,,
MR24-006 140,71,198195,2.03,16.819,3.5,0.78301,5.7,0.095557,4.6,0.795,588.3,25.6,587.2,25.6,582.9,75.4,588.3,25.6,100.9,100.2
MR24-006 141,120,190098,4.35,16.5452,2.7,0.76235,4.5,0.091521,3.7,0.809,564.5,19.8,575.4,19.9,618.4,57.4,564.5,19.8,91.3,98.1
MR24-006 145,81,145195,5.12,16.5142,2.9,0.88251,5.3,0.105748,4.4,0.829,648.0,26.8,642.3,25.0,622.4,63.5,648.0,26.8,104.1,100.9
MR24-006 146,101,881599,1.22,7.9475,2.1,6.3298,3.7,0.365016,3.1,0.824,2005.9,52.8,2022.6,32.6,2039.6,37.3,2039.6,37.3,98.3,99.2
MR24-006 147,242,94195,1.8,16.7956,2.5,0.78531,4.3,0.095704,3.6,0.824,589.2,20.2,588.5,19.4,585.9,53.4,589.2,20.2,100.6,100.1
MR24-006 148,130,602118,4.3,7.7529,1.6,6.83117,3.3,0.384286,2.9,0.878,2096.3,52.2,2089.8,29.4,2083.4,28.0,2083.4,28.0,100.6,100.3
MR24-006 149,21,14994,1.56,16.2418,6.6,0.80403,9.0,0.094754,6.1,0.682,583.6,34.1,599.1,40.6,658.2,140.7,583.6,34.1,88.7,97.4
MR24-006 150,57,176099,1.13,8.2673,1.9,5.49538,5.3,0.329651,4.9,0.935,1836.7,78.9,1899.9,45.3,1969.6,33.2,1969.6,33.2,93.3,96.7
MR24-006 151,40,71607,1.67,16.4206,4.1,0.86188,6.7,0.10269,5.4,0.798,630.2,32.3,631.1,31.7,634.7,87.5,630.2,32.3,99.3,99.9
MR24-006 152,100,47948,2.39,6.7272,2.1,7.93011,4.8,0.387089,4.4,0.901,2109.3,78.3,2223.1,43.5,2329.7,35.8,2329.7,35.8,90.5,94.9
MR24-006 153,9,18473,1.27,8.9653,3.8,5.16419,10.1,0.335938,9.4,0.927,1867.1,152.0,1846.7,86.1,1823.9,68.9,1823.9,68.9,102.4,101.1
MR24-006 155,123,88924,3.1,16.1014,3.3,0.96239,4.7,0.112437,3.4,0.721,686.9,22.3,684.5,23.6,676.8,70.2,686.9,22.3,101.5,100.4
MR24-006 156,126,121855,3.48,16.6072,2.8,0.83639,5.8,0.100785,5.1,0.875,619.0,30.0,617.1,26.9,610.3,60.7,619.0,30.0,101.4,100.3
MR24-006 158,104,105300,1.33,16.3379,1.9,0.85274,4.6,0.10109,4.2,0.906,620.8,24.7,626.2,21.5,645.6,41.8,620.8,24.7,96.2,99.1
MR24-006 159,56,25724,1.57,16.146,2.9,0.83677,5.0,0.098031,4.1,0.809,602.9,23.3,617.4,23.2,670.9,62.9,602.9,23.3,89.9,97.7
MR24-006 160,173,135311,3.74,16.2911,2.3,0.86455,3.8,0.102196,3.0,0.794,627.3,17.9,632.6,17.7,651.7,49.1,627.3,17.9,96.3,99.2
MR24-006 161,46,95459,1.91,9.0728,3.0,4.9877,5.5,0.328351,4.6,0.838,1830.4,73.4,1817.2,46.5,1802.2,54.6,1802.2,54.6,101.6,100.7
MR24-006 163,77,31873,1.68,13.8073,2.3,1.49324,4.6,0.1496,4.0,0.866,898.7,33.7,927.6,28.2,997.0,47.1,997.0,47.1,90.1,96.9
MR24-006 164,351,25085,1.41,13.3447,9.1,0.98907,9.5,0.09577,2.7,0.288,589.6,15.4,698.2,47.8,1065.9,182.5,589.6,15.4,55.3,84.4
MR24-006 166,37,125330,2.32,15.7261,4.5,0.93166,8.7,0.106309,7.5,0.859,651.3,46.2,668.5,42.6,727.0,94.4,651.3,46.2,89.6,97.4
MR24-006 167,29,49856,1.73,7.9466,2.6,6.43516,6.1,0.371052,5.5,0.903,2034.4,96.2,2037.1,53.7,2039.8,46.4,2039.8,46.4,99.7,99.9
MR24-006 168,150,1665976,4.68,7.6769,1.6,7.06691,3.7,0.393647,3.4,0.907,2139.7,61.7,2119.9,33.2,2100.7,27.7,2100.7,27.7,101.9,100.9
MR24-006 170,85,178394,2.47,7.6495,1.8,7.09851,4.2,0.394,3.8,0.905,2141.4,70.0,2123.9,37.8,2106.9,31.7,2106.9,31.7,101.6,100.8
MR24-006 171,38,130327,1.84,7.9254,2.1,6.3508,5.8,0.365213,5.5,0.934,2006.8,94.2,2025.5,51.3,2044.5,36.8,2044.5,36.8,98.2,99.1
MR24-006 172,43,50459,4.66,16.4417,6.0,0.72744,8.5,0.086784,6.1,0.716,536.5,31.4,555.0,36.4,632.0,128.2,536.5,31.4,84.9,96.7
MR24-006 174,163,147442,3.73,16.8298,3.0,0.77275,7.0,0.094366,6.3,0.902,581.3,35.0,581.3,30.9,581.5,65.4,581.3,35.0,100.0,100.0
MR24-006 176,63,21690,2.66,18.4658,4.6,0.39083,7.7,0.052366,6.1,0.796,329.0,19.6,335.0,21.9,376.4,104.3,329.0,19.6,87.4,98.2
MR24-006 177,144,643697,4.6,7.8505,2.5,6.45735,4.9,0.367826,4.3,0.867,2019.2,74.3,2040.1,43.5,2061.3,43.5,2061.3,43.5,98.0,99.0
MR24-006 180,92,173544,1.21,8.4391,3.7,5.47408,7.2,0.335199,6.2,0.858,1863.5,99.7,1896.5,61.7,1932.8,66.2,1932.8,66.2,96.4,98.3
MR24-006 181,121,304014,5.14,13.5058,2.4,1.72334,4.6,0.168882,4.0,0.862,1005.9,37.3,1017.3,29.9,1041.7,47.6,1041.7,47.6,96.6,98.9
MR24-006 182,107,100388,2.83,19.4475,5.2,0.31913,6.9,0.045032,4.6,0.667,284.0,12.8,281.2,17.0,258.7,118.7,284.0,12.8,109.8,101.0
MR24-006 183,126,60070,1.84,16.4961,2.7,0.88165,4.3,0.105528,3.3,0.78,646.7,20.5,641.9,20.4,624.8,57.7,646.7,20.5,103.5,100.7
MR24-006 184,239,1880373,4.5,7.3603,1.3,7.5574,3.5,0.403607,3.2,0.924,2185.6,59.9,2179.8,31.3,2174.3,23.3,2174.3,23.3,100.5,100.3
MR24-006 186,139,196464,2.53,4.291,1.7,17.58268,4.3,0.547446,4.0,0.922,2814.5,91.4,2967.2,41.8,3072.3,26.9,3072.3,26.9,91.6,94.9
MR24-006 187,196,215491,1.12,7.9994,1.6,6.08958,3.8,0.353458,3.4,0.905,1951.1,57.5,1988.8,32.9,2028.1,28.5,2028.1,28.5,96.2,98.1
MR24-006 188,172,133667,1.07,16.4403,3.0,0.82315,6.1,0.098194,5.3,0.874,603.8,30.8,609.8,28.1,632.1,64.2,603.8,30.8,95.5,99.0
MR24-006 189,279,63602,2.19,15.4603,3.7,0.66677,8.3,0.074798,7.4,0.896,465.0,33.3,518.7,33.7,763.0,77.8,465.0,33.3,60.9,89.6
MR24-006 190,93,27865,1.45,15.9093,2.8,0.83341,4.1,0.096207,3.0,0.727,592.1,17.1,615.5,19.1,702.4,60.6,592.1,17.1,84.3,96.2
MR24-006 192,118,158406,1.07,14.973,2.6,1.2271,4.7,0.133317,3.9,0.827,806.8,29.2,813.0,26.1,830.2,54.8,806.8,29.2,97.2,99.2
MR24-006 193,153,484889,2.01,18.7868,4.1,0.32388,5.2,0.04415,3.2,0.612,278.5,8.6,284.9,12.8,337.5,92.3,278.5,8.6,82.5,97.8
MR24-006 194,587,698878,6.66,8.1809,1.6,6.01628,2.7,0.357129,2.2,0.814,1968.6,36.9,1978.2,23.3,1988.3,27.6,1988.3,27.6,99.0,99.5
MR24-006 196,67,79513,2.77,11.4203,1.9,2.9512,5.4,0.244551,5.1,0.934,1410.3,64.5,1395.2,41.3,1372.0,37.4,1372.0,37.4,102.8,101.1
MR24-006 197,134,59188,3.37,16.2626,2.5,0.80336,4.3,0.094797,3.6,0.824,583.8,20.0,598.7,19.7,655.5,52.8,583.8,20.0,89.1,97.5
MR24-006 198,470,150005,5.9,16.1266,2.3,0.80689,4.8,0.094417,4.1,0.873,581.6,23.1,600.7,21.5,673.5,49.6,581.6,23.1,86.4,96.8
MR24-006 199,129,161003,2.79,16.7249,2.0,0.79538,4.5,0.096523,4.0,0.894,594.0,22.6,594.2,20.1,595.1,43.3,594.0,22.6,99.8,100.0
MR24-006 201,134,60701,0.61,16.2833,3.2,0.83755,5.1,0.098957,4.0,0.783,608.3,23.3,617.8,23.7,652.7,68.3,608.3,23.3,93.2,98.5
MR24-006 204,344,187513,6.22,13.8015,1.4,1.62042,2.6,0.162274,2.2,0.848,969.4,20.1,978.2,16.5,997.8,28.3,997.8,28.3,97.2,99.1
MR24-006 205,63,73097,2.64,16.546,2.5,0.82551,5.7,0.099107,5.1,0.898,609.2,29.6,611.1,26.0,618.3,53.9,609.2,29.6,98.5,99.7
MR24-006 206,79,24401,1.7,16.3216,3.3,0.86632,5.7,0.102597,4.6,0.812,629.6,27.7,633.6,26.8,647.7,71.3,629.6,27.7,97.2,99.4
MR24-006 207,129,198844,1.24,18.2697,2.8,0.50274,4.5,0.066645,3.5,0.777,415.9,14.0,413.6,15.2,400.4,63.2,415.9,14.0,103.9,100.6
